elapsed_time_s,explored_cells,exploration_rate
0.060,336,0.001254
0.168,360,0.001343
0.271,394,0.001470
0.375,454,0.001694
0.480,493,0.001840
0.587,521,0.001944
0.688,541,0.002019
0.799,554,0.002067
0.889,560,0.002090
0.993,566,0.002112
1.020,573,0.002138
1.218,580,0.002164
1.320,587,0.002190
1.446,608,0.002269
1.521,646,0.002411
1.627,685,0.002556
1.723,716,0.002672
1.818,739,0.002758
1.922,750,0.002799
2.016,758,0.002828
2.120,764,0.002851
2.216,768,0.002866
2.318,771,0.002877
2.421,817,0.003049
2.518,862,0.003217
2.623,906,0.003381
2.754,934,0.003485
2.825,973,0.003631
2.924,1016,0.003791
3.022,1060,0.003955
3.123,1108,0.004134
3.227,1187,0.004429
3.411,1244,0.004642
3.462,1259,0.004698
3.566,1301,0.004855
3.666,1366,0.005097
3.773,1427,0.005325
3.877,1471,0.005489
3.976,1501,0.005601
4.097,1508,0.005627
4.181,1515,0.005653
4.295,1521,0.005676
4.386,1527,0.005698
4.489,1532,0.005717
4.591,1533,0.005720
4.700,1534,0.005724
4.705,1534,0.005724
4.806,1536,0.005732
5.010,1536,0.005732
5.106,1539,0.005743
5.210,1543,0.005758
5.312,1554,0.005799
5.458,1555,0.005802
5.510,1555,0.005802
5.608,1556,0.005806
5.710,1557,0.005810
5.810,1558,0.005814
5.909,1558,0.005814
6.010,1562,0.005829
6.110,1566,0.005843
6.212,1569,0.005855
6.308,1577,0.005885
6.412,1584,0.005911
6.509,1592,0.005940
6.613,1597,0.005959
6.734,1606,0.005993
6.810,1613,0.006019
6.957,1614,0.006023
7.063,1615,0.006026
7.161,1615,0.006026
7.261,1615,0.006026
7.372,1615,0.006026
7.470,1618,0.006038
7.573,1622,0.006052
7.678,1623,0.006056
7.778,1624,0.006060
7.885,1627,0.006071
8.006,1638,0.006112
8.089,1653,0.006168
8.190,1664,0.006209
8.207,1675,0.006250
8.313,1681,0.006273
8.512,1687,0.006295
8.650,1694,0.006321
8.707,1699,0.006340
8.809,1701,0.006347
