elapsed_time_s,speed_mps
0.004,0.0000
0.009,0.0000
0.014,0.0000
0.019,0.0000
0.024,0.0000
0.029,0.0000
0.034,0.0000
0.039,0.0000
0.044,0.0000
0.049,0.0001
0.054,0.0002
0.060,0.0004
0.064,0.0007
0.070,0.0010
0.075,0.0014
0.079,0.0018
0.084,0.0024
0.089,0.0030
0.094,0.0036
0.099,0.0044
0.104,0.0052
0.109,0.0062
0.114,0.0072
0.119,0.0083
0.124,0.0095
0.129,0.0108
0.134,0.0122
0.139,0.0138
0.144,0.0154
0.149,0.0172
0.154,0.0190
0.159,0.0210
0.164,0.0231
0.169,0.0254
0.174,0.0277
0.179,0.0303
0.184,0.0329
0.189,0.0356
0.194,0.0385
0.199,0.0415
0.204,0.0447
0.209,0.0480
0.214,0.0514
0.219,0.0550
0.224,0.0587
0.229,0.0626
0.234,0.0665
0.239,0.0707
0.244,0.0750
0.249,0.0795
0.254,0.0840
0.259,0.0888
0.264,0.0936
0.269,0.0987
0.274,0.1039
0.279,0.1093
0.284,0.1147
0.289,0.1204
0.294,0.1261
0.299,0.1321
0.304,0.1382
0.309,0.1444
0.314,0.1508
0.319,0.1574
0.324,0.1641
0.329,0.1710
0.334,0.1780
0.340,0.1852
0.344,0.1924
0.349,0.1999
0.354,0.2075
0.359,0.2153
0.364,0.2232
0.369,0.2313
0.374,0.2395
0.379,0.2479
0.384,0.2562
0.389,0.2649
0.394,0.2736
0.399,0.2827
0.404,0.2917
0.409,0.3008
0.415,0.3102
0.419,0.3197
0.424,0.3292
0.430,0.3391
0.434,0.3489
0.439,0.3590
0.444,0.3691
0.449,0.3795
0.454,0.3897
0.459,0.4003
0.464,0.4109
0.469,0.4218
0.474,0.4326
0.479,0.4437
0.485,0.4548
0.489,0.4661
0.494,0.4774
0.499,0.4889
0.504,0.5005
0.509,0.5122
0.514,0.5240
0.519,0.5360
0.524,0.5479
0.529,0.5601
0.534,0.5723
0.539,0.5846
0.544,0.5971
0.549,0.6097
0.554,0.6222
0.559,0.6349
0.564,0.6478
0.569,0.6606
0.574,0.6736
0.579,0.6867
0.584,0.6998
0.589,0.7130
0.594,0.7263
0.599,0.7397
0.604,0.7530
0.609,0.7665
0.614,0.7801
0.619,0.7937
0.624,0.8074
0.629,0.8212
0.634,0.8349
0.639,0.8488
0.644,0.8626
0.649,0.8766
0.654,0.8907
0.659,0.9046
0.664,0.9187
0.669,0.9327
0.674,0.9470
0.679,0.9613
0.684,0.9753
0.689,0.9897
0.695,1.0041
0.699,1.0182
0.704,1.0325
0.709,1.0469
0.714,1.0613
0.719,1.0757
0.724,1.0900
0.729,1.1045
0.734,1.1188
0.739,1.1333
0.744,1.1477
0.749,1.1621
0.754,1.1764
0.759,1.1909
0.764,1.2052
0.769,1.2197
0.774,1.2339
0.779,1.2482
0.785,1.2627
0.790,1.2770
0.794,1.2911
0.799,1.3055
0.804,1.3196
0.809,1.3338
0.814,1.3479
0.819,1.3620
0.824,1.3763
0.829,1.3903
0.834,1.4042
0.839,1.4182
0.844,1.4322
0.849,1.4461
0.854,1.4599
0.859,1.4737
0.864,1.4875
0.869,1.5012
0.874,1.5149
0.879,1.5284
0.884,1.5420
0.889,1.5555
0.894,1.5689
0.899,1.5822
0.904,1.5954
0.909,1.6087
0.914,1.6219
0.919,1.6350
0.924,1.6480
0.929,1.6609
0.934,1.6738
0.939,1.6866
0.944,1.6993
0.949,1.7120
0.954,1.7245
0.960,1.7370
0.964,1.7495
0.969,1.7618
0.974,1.7740
0.979,1.7863
0.984,1.7985
0.989,1.8105
0.994,1.8224
0.999,1.8342
1.004,1.8459
1.009,1.8576
1.014,1.8692
1.019,1.8807
1.024,1.8922
1.029,1.9036
1.034,1.9148
1.039,1.9260
1.044,1.9369
1.049,1.9479
1.054,1.9587
1.059,1.9695
1.064,1.9802
1.069,1.9908
1.074,2.0013
1.079,2.0117
1.084,2.0220
1.089,2.0323
1.094,2.0424
1.099,2.0524
1.104,2.0623
1.109,2.0721
1.114,2.0818
1.119,2.0915
1.124,2.1012
1.129,2.1106
1.134,2.1199
1.140,2.1293
1.144,2.1385
1.149,2.1475
1.154,2.1565
1.159,2.1654
1.164,2.1742
1.169,2.1830
1.174,2.1916
1.179,2.2002
1.184,2.2086
1.189,2.2170
1.194,2.2253
1.199,2.2336
1.204,2.2416
1.209,2.2497
1.214,2.2576
1.219,2.2654
1.224,2.2732
1.229,2.2809
1.234,2.2885
1.239,2.2960
1.244,2.3034
1.249,2.3109
1.254,2.3181
1.259,2.3253
1.264,2.3324
1.269,2.3395
1.274,2.3464
1.279,2.3533
1.284,2.3601
1.289,2.3670
1.294,2.3736
1.299,2.3802
1.304,2.3867
1.309,2.3932
1.314,2.3996
1.319,2.4060
1.324,2.4122
1.329,2.4185
1.334,2.4246
1.339,2.4308
1.344,2.4368
1.349,2.4428
1.354,2.4487
1.359,2.4545
1.364,2.4603
1.369,2.4661
1.374,2.4718
1.379,2.4775
1.384,2.4831
1.389,2.4887
1.394,2.4942
1.399,2.4997
1.404,2.5052
1.409,2.5106
1.414,2.5159
1.419,2.5213
1.424,2.5266
1.429,2.5319
1.434,2.5370
1.440,2.5423
1.444,2.5475
1.449,2.5525
1.454,2.5576
1.459,2.5626
1.464,2.5675
1.469,2.5724
1.474,2.5772
1.479,2.5820
1.484,2.5866
1.489,2.5913
1.494,2.5958
1.499,2.6003
1.504,2.6047
1.509,2.6090
1.514,2.6132
1.519,2.6174
1.524,2.6214
1.529,2.6254
1.534,2.6293
1.539,2.6331
1.544,2.6367
1.549,2.6403
1.554,2.6438
1.559,2.6471
1.564,2.6504
1.569,2.6535
1.574,2.6565
1.579,2.6594
1.584,2.6621
1.589,2.6647
1.594,2.6672
1.599,2.6695
1.605,2.6717
1.609,2.6738
1.614,2.6757
1.619,2.6774
1.624,2.6790
1.629,2.6805
1.634,2.6818
1.639,2.6829
1.644,2.6839
1.649,2.6846
1.654,2.6853
1.659,2.6857
1.664,2.6860
1.669,2.6861
1.674,2.6860
1.679,2.6858
1.684,2.6853
1.689,2.6847
1.694,2.6839
1.699,2.6828
1.704,2.6817
1.709,2.6802
1.714,2.6787
1.719,2.6769
1.724,2.6749
1.730,2.6727
1.734,2.6703
1.739,2.6677
1.744,2.6649
1.749,2.6619
1.754,2.6587
1.759,2.6553
1.764,2.6517
1.769,2.6478
1.774,2.6438
1.779,2.6395
1.784,2.6351
1.789,2.6304
1.794,2.6255
1.799,2.6204
1.804,2.6151
1.809,2.6096
1.814,2.6039
1.819,2.5980
1.824,2.5918
1.829,2.5854
1.834,2.5789
1.839,2.5720
1.844,2.5650
1.849,2.5578
1.854,2.5504
1.859,2.5428
1.864,2.5351
1.869,2.5270
1.874,2.5188
1.879,2.5103
1.884,2.5017
1.889,2.4928
1.894,2.4837
1.899,2.4744
1.905,2.4650
1.909,2.4554
1.914,2.4456
1.919,2.4355
1.924,2.4253
1.929,2.4149
1.934,2.4043
1.939,2.3935
1.944,2.3826
1.949,2.3714
1.954,2.3601
1.959,2.3486
1.964,2.3370
1.969,2.3251
1.974,2.3130
1.979,2.3008
1.984,2.2885
1.989,2.2761
1.994,2.2634
1.999,2.2506
2.004,2.2376
2.009,2.2245
2.014,2.2113
2.019,2.1978
2.024,2.1843
2.029,2.1706
2.034,2.1568
2.039,2.1428
2.044,2.1288
2.049,2.1146
2.054,2.1002
2.059,2.0857
2.064,2.0712
2.069,2.0566
2.074,2.0418
2.079,2.0270
2.084,2.0120
2.089,1.9971
2.094,1.9819
2.099,1.9667
2.104,1.9515
2.109,1.9362
2.114,1.9208
2.119,1.9053
2.124,1.8898
2.129,1.8741
2.134,1.8584
2.139,1.8428
2.144,1.8272
2.149,1.8114
2.154,1.7957
2.159,1.7799
2.164,1.7642
2.169,1.7484
2.174,1.7326
2.179,1.7169
2.184,1.7012
2.189,1.6854
2.194,1.6696
2.199,1.6540
2.204,1.6384
2.209,1.6228
2.214,1.6073
2.219,1.5918
2.224,1.5765
2.229,1.5612
2.234,1.5460
2.239,1.5309
2.244,1.5159
2.249,1.5009
2.254,1.4862
2.259,1.4715
2.264,1.4570
2.269,1.4426
2.274,1.4284
2.280,1.4142
2.285,1.4004
2.289,1.3867
2.294,1.3733
2.299,1.3600
2.304,1.3470
2.309,1.3340
2.315,1.3214
2.319,1.3089
2.324,1.2968
2.329,1.2849
2.334,1.2733
2.339,1.2620
2.344,1.2510
2.349,1.2402
2.354,1.2298
2.359,1.2196
2.364,1.2099
2.369,1.2004
2.374,1.1912
2.380,1.1825
2.384,1.1741
2.390,1.1659
2.394,1.1584
2.399,1.1511
2.404,1.1442
2.409,1.1377
2.414,1.1316
2.419,1.1258
2.424,1.1206
2.429,1.1156
2.434,1.1112
2.439,1.1071
2.444,1.1035
2.449,1.1003
2.454,1.0975
2.459,1.0951
2.464,1.0931
2.469,1.0916
2.474,1.0905
2.479,1.0897
2.485,1.0894
2.489,1.0895
2.494,1.0900
2.499,1.0908
2.504,1.0921
2.509,1.0937
2.514,1.0957
2.519,1.0980
2.524,1.1008
2.529,1.1038
2.534,1.1072
2.540,1.1110
2.544,1.1150
2.549,1.1193
2.554,1.1239
2.559,1.1288
2.564,1.1340
2.569,1.1394
2.574,1.1451
2.579,1.1510
2.585,1.1573
2.589,1.1636
2.594,1.1702
2.599,1.1769
2.604,1.1839
2.610,1.1911
2.614,1.1984
2.619,1.2058
2.624,1.2134
2.629,1.2212
2.634,1.2291
2.639,1.2370
2.645,1.2452
2.649,1.2532
2.654,1.2614
2.660,1.2698
2.664,1.2781
2.669,1.2865
2.674,1.2951
2.679,1.3036
2.684,1.3121
2.689,1.3208
2.695,1.3294
2.700,1.3378
2.705,1.3464
2.709,1.3550
2.714,1.3635
2.719,1.3720
2.724,1.3806
2.729,1.3891
2.734,1.3975
2.739,1.4059
2.744,1.4142
2.749,1.4225
2.754,1.4307
2.759,1.4388
2.764,1.4468
2.769,1.4547
2.774,1.4626
2.779,1.4705
2.784,1.4781
2.789,1.4857
2.794,1.4932
2.800,1.5006
2.804,1.5079
2.809,1.5150
2.815,1.5221
2.819,1.5291
2.824,1.5359
2.829,1.5425
2.834,1.5491
2.839,1.5556
2.844,1.5620
2.849,1.5682
2.855,1.5743
2.859,1.5802
2.864,1.5861
2.869,1.5918
2.874,1.5973
2.879,1.6028
2.884,1.6081
2.889,1.6132
2.894,1.6182
2.899,1.6232
2.904,1.6279
2.910,1.6325
2.914,1.6370
2.919,1.6413
2.924,1.6455
2.929,1.6496
2.934,1.6535
2.939,1.6573
2.944,1.6610
2.949,1.6645
2.954,1.6678
2.959,1.6711
2.964,1.6742
2.969,1.6771
2.974,1.6800
2.980,1.6827
2.984,1.6852
2.989,1.6877
2.994,1.6899
2.999,1.6921
3.004,1.6941
3.009,1.6961
3.014,1.6978
3.019,1.6995
3.024,1.7010
3.029,1.7024
3.034,1.7036
3.039,1.7048
3.044,1.7058
3.049,1.7067
3.054,1.7074
3.060,1.7081
3.064,1.7086
3.069,1.7091
3.074,1.7094
3.079,1.7096
3.084,1.7096
3.089,1.7096
3.094,1.7095
3.099,1.7093
3.104,1.7089
3.109,1.7085
3.114,1.7079
3.119,1.7073
3.125,1.7065
3.129,1.7057
3.134,1.7047
3.139,1.7037
3.144,1.7025
3.149,1.7013
3.154,1.7000
3.159,1.6986
3.164,1.6971
3.169,1.6956
3.174,1.6939
3.179,1.6922
3.184,1.6904
3.190,1.6886
3.194,1.6866
3.199,1.6846
3.204,1.6825
3.209,1.6804
3.214,1.6782
3.219,1.6760
3.224,1.6736
3.229,1.6712
3.234,1.6688
3.239,1.6663
3.244,1.6638
3.249,1.6612
3.254,1.6585
3.259,1.6558
3.264,1.6531
3.269,1.6503
3.274,1.6475
3.279,1.6447
3.284,1.6418
3.289,1.6389
3.294,1.6360
3.299,1.6330
3.304,1.6300
3.309,1.6270
3.314,1.6239
3.320,1.6209
3.324,1.6178
3.329,1.6147
3.334,1.6116
3.339,1.6085
3.344,1.6053
3.349,1.6022
3.354,1.5991
3.359,1.5959
3.364,1.5928
3.369,1.5896
3.374,1.5864
3.379,1.5833
3.384,1.5802
3.389,1.5770
3.394,1.5739
3.400,1.5708
3.404,1.5677
3.409,1.5646
3.414,1.5615
3.419,1.5585
3.424,1.5555
3.429,1.5524
3.434,1.5494
3.439,1.5464
3.444,1.5435
3.449,1.5406
3.454,1.5377
3.459,1.5348
3.464,1.5320
3.469,1.5291
3.474,1.5264
3.479,1.5236
3.484,1.5209
3.489,1.5182
3.494,1.5156
3.499,1.5129
3.504,1.5104
3.509,1.5078
3.514,1.5053
3.519,1.5028
3.524,1.5004
3.529,1.4980
3.534,1.4957
3.539,1.4933
3.544,1.4911
3.549,1.4888
3.554,1.4867
3.559,1.4845
3.564,1.4824
3.570,1.4803
3.574,1.4783
3.579,1.4763
3.584,1.4744
3.589,1.4725
3.594,1.4707
3.599,1.4688
3.604,1.4671
3.609,1.4653
3.614,1.4637
3.619,1.4620
3.624,1.4604
3.629,1.4588
3.634,1.4574
3.639,1.4559
3.644,1.4545
3.649,1.4530
3.654,1.4517
3.659,1.4504
3.664,1.4492
3.669,1.4479
3.674,1.4467
3.679,1.4455
3.684,1.4445
3.689,1.4433
3.694,1.4423
3.699,1.4412
3.704,1.4403
3.709,1.4393
3.714,1.4385
3.719,1.4375
3.724,1.4368
3.730,1.4359
3.734,1.4352
3.740,1.4343
3.744,1.4337
3.749,1.4329
3.754,1.4323
3.759,1.4316
3.765,1.4311
3.769,1.4304
3.774,1.4299
3.779,1.4293
3.784,1.4288
3.789,1.4282
3.794,1.4278
3.799,1.4273
3.804,1.4269
3.809,1.4264
3.815,1.4260
3.819,1.4256
3.824,1.4252
3.829,1.4248
