elapsed_time_s,tracking_error_m
0.039,0.0000
0.044,0.0000
0.049,0.0000
0.054,0.0000
0.060,0.0000
0.064,0.0000
0.070,0.0000
0.075,0.0000
0.079,0.0000
0.084,0.0000
0.089,0.0001
0.094,0.0001
0.099,0.0001
0.104,0.0001
0.109,0.0001
0.114,0.0001
0.119,0.0001
0.124,0.0001
0.129,0.0002
0.134,0.0001
0.139,0.0002
0.144,0.0001
0.149,0.0003
0.154,0.0002
0.159,0.0003
0.164,0.0002
0.169,0.0004
0.174,0.0002
0.179,0.0004
0.184,0.0003
0.189,0.0005
0.194,0.0003
0.199,0.0005
0.204,0.0003
0.209,0.0006
0.214,0.0004
0.219,0.0007
0.224,0.0004
0.229,0.0007
0.234,0.0004
0.239,0.0008
0.244,0.0005
0.249,0.0009
0.254,0.0005
0.259,0.0010
0.264,0.0005
0.269,0.0011
0.274,0.0006
0.279,0.0012
0.284,0.0006
0.289,0.0013
0.294,0.0007
0.299,0.0014
0.304,0.0007
0.309,0.0015
0.314,0.0008
0.319,0.0016
0.324,0.0008
0.329,0.0017
0.334,0.0008
0.340,0.0018
0.344,0.0009
0.349,0.0019
0.354,0.0009
0.359,0.0020
0.364,0.0010
0.369,0.0022
0.374,0.0010
0.379,0.0023
0.384,0.0010
0.389,0.0024
0.394,0.0011
0.399,0.0025
0.404,0.0011
0.409,0.0027
0.415,0.0012
0.419,0.0028
0.424,0.0012
0.430,0.0029
0.434,0.0012
0.439,0.0031
0.444,0.0013
0.449,0.0032
0.454,0.0013
0.459,0.0034
0.464,0.0014
0.469,0.0035
0.474,0.0014
0.479,0.0036
0.485,0.0014
0.489,0.0038
0.494,0.0015
0.499,0.0039
0.504,0.0015
0.509,0.0041
0.514,0.0015
0.519,0.0042
0.524,0.0016
0.529,0.0044
0.534,0.0016
0.539,0.0045
0.544,0.0016
0.549,0.0046
0.554,0.0016
0.559,0.0048
0.564,0.0016
0.569,0.0050
0.574,0.0017
0.579,0.0051
0.584,0.0017
0.589,0.0053
0.594,0.0017
0.599,0.0054
0.604,0.0017
0.609,0.0056
0.614,0.0018
0.619,0.0057
0.624,0.0018
0.629,0.0058
0.634,0.0018
0.639,0.0060
0.644,0.0018
0.649,0.0061
0.654,0.0017
0.659,0.0063
0.664,0.0018
0.669,0.0065
0.674,0.0018
0.679,0.0066
0.684,0.0018
0.689,0.0067
0.695,0.0017
0.699,0.0069
0.704,0.0018
0.709,0.0070
0.714,0.0018
0.719,0.0071
0.724,0.0018
0.729,0.0073
0.734,0.0018
0.739,0.0074
0.744,0.0017
0.749,0.0075
0.754,0.0018
0.759,0.0076
0.764,0.0017
0.769,0.0078
0.774,0.0017
0.779,0.0079
0.785,0.0017
0.790,0.0080
0.794,0.0017
0.799,0.0081
0.804,0.0017
0.809,0.0083
0.814,0.0016
0.819,0.0084
0.824,0.0015
0.829,0.0085
0.834,0.0016
0.839,0.0086
0.844,0.0015
0.849,0.0087
0.854,0.0015
0.859,0.0088
0.864,0.0015
0.869,0.0090
0.874,0.0015
0.879,0.0090
0.884,0.0014
0.889,0.0091
0.894,0.0014
